,사용자발화,엔진결과_module,엔진결과_intent_id,엔진결과_intent_title,엔진결과_confidence
682,재해 발생 전 전기사고,DialogAdapter,IT-0080,재해발생 전 전기 사고 예방,0.9128709291752769
683,재해 전기사고,DialogAdapter,IT-0072,전기 사고 국민안전행동요령,0.816496580927726
684,재해 전 전기사고,DialogAdapter,IT-0080,재해발생 전 전기 사고 예방,0.8164965809277261
685,전기 사고 예방,DialogAdapter,IT-0072,전기 사고 국민안전행동요령,1.0000000000000002
686,바깥에서 전기,DialogAdapter,IT-0079,야외에서 전기 사고 예방,0.9999999999999998
687,밖에서 전기 사고,DialogAdapter,IT-0079,야외에서 전기 사고 예방,0.6666666666666669
688,야외 전기 사고,DialogAdapter,IT-0079,야외에서 전기 사고 예방,0.8660254037844388
689,야외 전기,DialogAdapter,IT-0079,야외에서 전기 사고 예방,0.816496580927726
690,야외,DialogAdapter,IT-0079,야외에서 전기 사고 예방,0.7071067811865475
691,정전 발생,DialogAdapter,IT-0078,정전 발생 시 조치,1.0
692,정전 났어,DialogAdapter,IT-0072,전기 사고 국민안전행동요령,1.0
693,정전,DialogAdapter,IT-0072,전기 사고 국민안전행동요령,1.0
694,전기 설비 조치,DialogAdapter,IT-0072,전기 사고 국민안전행동요령,0.816496580927726
695,전기 설비,DialogAdapter,IT-0072,전기 사고 국민안전행동요령,0.9999999999999998
696,대피 명령,DialogAdapter,IT-0077,대피 명령 시 전기 설비 조치,0.7071067811865475
697,엘레베이터,DialogAdapter,IT-0116,승강기 사고 국민안전행동요령,0.8660254037844388
698,엘레베이터 정전,DialogAdapter,IT-0076,엘리베이터에서 정전 시,1.0
699,엘리베이터 정전,DialogAdapter,IT-0076,엘리베이터에서 정전 시,1.0
700,정전 예고,DialogAdapter,IT-0075,예고 정전 시,1.0
701,예고 정전,DialogAdapter,IT-0075,예고 정전 시,0.816496580927726
702,이웃들 정전,DialogAdapter,IT-0074,이웃과 같이 정전 시,0.816496580927726
703,이웃과 정전,DialogAdapter,IT-0074,이웃과 같이 정전 시,0.816496580927726
704,우리집 정전 됬어,DialogAdapter,IT-0073,우리 집만 정전 시,0.816496580927726
705,정전시 대처법,DialogAdapter,IT-0078,정전 발생 시 조치,1.0
706,정전식 대처법,DialogAdapter,IT-0105,산행 안전 국민안전행동요령,0.6666666666666669
707,우리집 정전,DialogAdapter,IT-0073,우리 집만 정전 시,0.816496580927726
708,집 정전,DialogAdapter,IT-0072,전기 사고 국민안전행동요령,0.7071067811865475
709,전기 사고시 대처법,DialogAdapter,IT-0079,야외에서 전기 사고 예방,0.7999999999999999
710,전기,DialogAdapter,IT-0072,전기 사고 국민안전행동요령,0.7071067811865475
711,전기 사고,DialogAdapter,IT-0072,전기 사고 국민안전행동요령,1.0
712,댐 붕괴시 대처법,DialogAdapter,IT-0071,댐 붕괴 국민안전행동요령,0.8944271909999159
713,댐 붕괴,DialogAdapter,IT-0071,댐 붕괴 국민안전행동요령,0.816496580927726
714,댐,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
715,댄,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,0.7071067811865475
716,건물 안에 갇힐때,DialogAdapter,IT-0650,붕괴된 구조물에 갇힌 경우,0.816496580927726
717,붕괴된 건축물 안,DialogAdapter,IT-0069,붕괴된 건축물 안에 있을 경우,0.8660254037844388
718,붕괴 건물 안,DialogAdapter,IT-0069,붕괴된 건축물 안에 있을 경우,0.8660254037844388
719,건물 붕괴 전조,DialogAdapter,IT1607320061875001,도로·시설물 파손 및 고장 신고 안내,0.6666666666666669
720,건물 붕괴 징후,DialogAdapter,IT-0068,건축물 붕괴 징후와 붕괴사고 신고,0.92
721,건축물 붕괴 전조,DialogAdapter,IT1607320061875001,도로·시설물 파손 및 고장 신고 안내,0.6666666666666669
722,건축물 붕괴 징후,DialogAdapter,IT-0068,건축물 붕괴 징후와 붕괴사고 신고,1.0
723,건축물 붕괴,DialogAdapter,IT1607320061875001,도로·시설물 파손 및 고장 신고 안내,0.9999999999999998
724,건축물 붕괴 안전 수칙,DialogAdapter,IT-0067,건축물 붕괴 국민안전행동요령,1.0
725,건축물 붕괴,DialogAdapter,IT1607320061875001,도로·시설물 파손 및 고장 신고 안내,0.9999999999999998
726,건물 붕괴,DialogAdapter,IT1607320061875001,도로·시설물 파손 및 고장 신고 안내,0.9999999999999998
727,산불 안전수칙,DialogAdapter,IT-0066,산불 국민안전행동요령,1.0000000000000002
728,산에서 불이나,DialogAdapter,IT-0066,산불 국민안전행동요령,0.7071067811865475
729,산불,DialogAdapter,IT-0066,산불 국민안전행동요령,1.0
730,불 붙음,DialogAdapter,IT-0066,산불 국민안전행동요령,0.7071067811865475
731,불 붙었을때,DialogAdapter,IT-0065,옷에 불이 붙었을때,0.816496580927726
732,불 붙었을땨,DOUB API,IT-0059,화재 국민안전행동요령,1.0
733,옷 불,DOUB API,IT-0059,화재 국민안전행동요령,1.0
734,옷에 불,DialogAdapter,IT-0065,옷에 불이 붙었을때,0.816496580927726
735,감염병,DialogAdapter,IT-0054,감염병 예방 국민안전행동요령,0.7071067811865475
736,리프트,DialogAdapter,IT-0116,승강기 사고 국민안전행동요령,0.7071067811865475
737,완강기,DialogAdapter,IT-0062,완강기 사용법,0.7071067811865475
738,불 발견,DialogAdapter,IT-0061,불을 발견했을때,1.0
739,불,DialogAdapter,IT-0066,산불 국민안전행동요령,0.7071067811865475
740,불이야!,DialogAdapter,IT-0059,화재 국민안전행동요령,1.0
741,화재 경보시 행동,DialogAdapter,IT-0060,화재 경보가 울릴때,0.7071067811865475
742,경보,DialogAdapter,IT-0060,화재 경보가 울릴때,0.7071067811865475
743,화재 경보,DialogAdapter,IT-0060,화재 경보가 울릴때,1.0
744,화재 행동요령,DialogAdapter,IT-0066,산불 국민안전행동요령,0.8660254037844388
745,화재 대처법,DialogAdapter,IT-0059,화재 국민안전행동요령,0.91
746,화재,DialogAdapter,IT-0059,화재 국민안전행동요령,1.0
747,화학물질 유출,DialogAdapter,IT-0058,화학물질 사고 국민안전행동요령,0.8660254037844388
748,화학물질 사고,DialogAdapter,IT-0058,화학물질 사고 국민안전행동요령,1.0
749,화학 사고,DialogAdapter,IT-0058,화학물질 사고 국민안전행동요령,0.9999999999999998
750,화학,DialogAdapter,IT-0058,화학물질 사고 국민안전행동요령,1.0
751,화학물질,DialogAdapter,IT-0058,화학물질 사고 국민안전행동요령,0.816496580927726
752,방사선 사고,DialogAdapter,IT-0057,방사선 누출 사고 국민안전행동요령,0.9999999999999998
753,방사선 누출 사고,DialogAdapter,IT-0057,방사선 누출 사고 국민안전행동요령,1.0000000000000002
754,방사선 누출,DialogAdapter,IT-0057,방사선 누출 사고 국민안전행동요령,0.816496580927726
755,방사선,DialogAdapter,IT-0057,방사선 누출 사고 국민안전행동요령,0.7071067811865475
756,기차,DialogAdapter,IT-0055,고속철도 사고 국민안전행동요령,0.7071067811865475
757,지하철 사고,DialogAdapter,IT-0056,지하철 사고 국민안전행동요령,1.0
758,지하철,DialogAdapter,IT-0056,지하철 사고 국민안전행동요령,0.7071067811865475
759,고속철도 사고,DialogAdapter,IT-0055,고속철도 사고 국민안전행동요령,1.0
760,고속철도,DialogAdapter,IT-0055,고속철도 사고 국민안전행동요령,1.0
761,감염병 예방,DialogAdapter,IT-0054,감염병 예방 국민안전행동요령,1.0
762,감염병,DialogAdapter,IT-0054,감염병 예방 국민안전행동요령,0.7071067811865475
763,가축 질환,DialogAdapter,IT-0053,가축 전염병 국민안전행동요령,0.9999999999999998
764,가축 병,DialogAdapter,IT-0053,가축 전염병 국민안전행동요령,0.9999999999999998
765,가축 전염병,DialogAdapter,IT-0053,가축 전염병 국민안전행동요령,1.0
766,공동구 문제,DialogAdapter,IT-0052,공동구 사고 국민안전행동요령,0.9999999999999998
767,공동구 사고,DialogAdapter,IT-0052,공동구 사고 국민안전행동요령,1.0
768,공동구,DialogAdapter,IT-0052,공동구 사고 국민안전행동요령,0.7071067811865475
769,공동구 균열,DialogAdapter,IT-0052,공동구 사고 국민안전행동요령,1.0
770,상하수도관,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
771,하수도,DialogAdapter,IT1607320211556001,지하수 미등록 시설·방치공 신고 안내,1.0
772,공동구,DialogAdapter,IT-0052,공동구 사고 국민안전행동요령,0.7071067811865475
773,식수,DialogAdapter,IT-0051,식용수 오염 국민안전행동요령,1.0
774,식용수 오염,DialogAdapter,IT-0051,식용수 오염 국민안전행동요령,1.0
775,식용수 오염,DialogAdapter,IT-0051,식용수 오염 국민안전행동요령,1.0
776,식용수,DialogAdapter,IT-0051,식용수 오염 국민안전행동요령,0.816496580927726
777,식수 오염,DialogAdapter,IT-0051,식용수 오염 국민안전행동요령,1.0
778,식수오염,DialogAdapter,IT-0051,식용수 오염 국민안전행동요령,1.0
779,식사 오염,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
780,수질오염시 대처법,DialogAdapter,IT-0050,대규모 수질오염 국민안전행동요령,1.0
781,수질오염 대처법,DialogAdapter,IT-0050,대규모 수질오염 국민안전행동요령,0.93
782,수질오염,DialogAdapter,IT1607320217567001,대기·수질오염 신고 안내,1.0
783,민물 오염,DialogAdapter,IT-0050,대규모 수질오염 국민안전행동요령,0.9999999999999998
784,강 오염,DialogAdapter,IT-0050,대규모 수질오염 국민안전행동요령,0.9999999999999998
785,바다오염,DialogAdapter,IT-0049,해양오염사고 국민안전행동요령,0.816496580927726
786,해양오염,DialogAdapter,IT-0049,해양오염사고 국민안전행동요령,0.816496580927726
787,수질오염,DialogAdapter,IT1607320217567001,대기·수질오염 신고 안내,1.0
788,사회재난 방지,DialogAdapter,IT-0048,사회재난 국민안전행동요령,1.0000000000000002
789,사회재난 대처법,DialogAdapter,IT-0048,사회재난 국민안전행동요령,0.93
790,사회재난,DialogAdapter,IT-0048,사회재난 국민안전행동요령,1.0
791,화재,DialogAdapter,IT-0059,화재 국민안전행동요령,1.0
792,산사태 알려줘,DialogAdapter,IT-0047,산사태 국민안전행동요령,1.0
793,산사태에 관해,DialogAdapter,IT-0047,산사태 국민안전행동요령,1.0
794,디동,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
795,땅불,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
796,산테,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
797,산사태,DialogAdapter,IT-0047,산사태 국민안전행동요령,1.0
798,초미세먼지,DialogAdapter,IT-0046,황사 고농도 미세먼지 국민안전행동요령,1.0
799,미세먼지,DialogAdapter,IT-0046,황사 고농도 미세먼지 국민안전행동요령,1.0
800,황사,DialogAdapter,IT-0046,황사 고농도 미세먼지 국민안전행동요령,1.0
801,화산 분출,DialogAdapter,IT-0045,화산재 낙하 국민안전행동요령,1.0
802,화산재,DialogAdapter,IT-0045,화산재 낙하 국민안전행동요령,1.0
803,화산 분출,DialogAdapter,IT-0045,화산재 낙하 국민안전행동요령,1.0
804,화산 분풀,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
805,화산 폭발,DialogAdapter,IT-0045,화산재 낙하 국민안전행동요령,0.9999999999999998
806,상황별 지진 행동요령,DialogAdapter,IT-0044,상황별 지진 국민안전행동요령,1.0
807,상황별 지진 대처법,DialogAdapter,IT-0044,상황별 지진 국민안전행동요령,1.0
808,지진 상황,DialogAdapter,IT-0044,상황별 지진 국민안전행동요령,0.816496580927726
809,장소별 지진 행동요령,DialogAdapter,IT-0043,장소별 지진 국민안전행동요령,1.0
810,장소별 지진 대처버1,DOUB API,IT-0042,지진 국민안전행동요령,1.0
811,지진에서 안전한 장소,DialogAdapter,IT-0137,비상대비 국민안전행동요령,0.6666666666666669
812,지진 대처법,DialogAdapter,IT-0042,지진 국민안전행동요령,0.91
813,땅흔들림,DialogAdapter,IT-0042,지진 국민안전행동요령,1.0
814,지진,DialogAdapter,IT-0042,지진 국민안전행동요령,1.0
815,매서운 추위,DialogAdapter,IT-0041,한파 국민안전행동요령,1.0
816,동상,DialogAdapter,IT-0041,한파 국민안전행동요령,1.0
817,한파,DialogAdapter,IT-0041,한파 국민안전행동요령,1.0
818,폭설,DialogAdapter,IT-0040,대설 국민안전행동요령,1.0
819,눈밭,DialogAdapter,IT-0040,대설 국민안전행동요령,1.0
820,폭설,DialogAdapter,IT-0040,대설 국민안전행동요령,1.0
821,하늘의 쓰레기,DialogAdapter,IT1607320222804001,쓰레기·폐기물·유독물 신고 안내,0.7071067811865475
822,대설,DialogAdapter,IT-0040,대설 국민안전행동요령,1.0
823,폭설,DialogAdapter,IT-0040,대설 국민안전행동요령,1.0
824,가뭄에 대해,DialogAdapter,IT-0039,가뭄 국민안전행동요령,0.7071067811865475
825,가뭄 주의사항,DialogAdapter,IT-0039,가뭄 국민안전행동요령,1.0
826,가뭄 발생 시,DialogAdapter,IT-0039,가뭄 국민안전행동요령,0.816496580927726
827,땅갈라짐,DialogAdapter,IT-0039,가뭄 국민안전행동요령,1.0
828,열사병,DialogAdapter,IT-0085,응급처치 국민안전행동요령,0.9999999999999998
829,무더위,DialogAdapter,IT-0038,폭염 국민안전행동요령,1.0
830,폭염,DialogAdapter,IT-0038,폭염 국민안전행동요령,1.0
831,천둥번개,DialogAdapter,IT-0037,낙뢰 국민안전행동요령,0.9999999999999998
832,번개,DialogAdapter,IT-0037,낙뢰 국민안전행동요령,1.0
833,호우 발생시 대처법,DialogAdapter,IT-0036,태풍 호우 국민안전행동요령,1.0
834,태풍 발생시 대처법,DialogAdapter,IT-0036,태풍 호우 국민안전행동요령,0.94
835,호우 대처법,DialogAdapter,IT-0036,태풍 호우 국민안전행동요령,1.0000000000000002
836,태풍 호우,DialogAdapter,IT-0036,태풍 호우 국민안전행동요령,0.9999999999999998
837,태풍,DialogAdapter,IT-0036,태풍 호우 국민안전행동요령,1.0
838,태풍 대처법,DialogAdapter,IT-0036,태풍 호우 국민안전행동요령,0.91
839,자연재난시 다처법,DialogAdapter,IT-0035,자연재난 국민안전행동요령,0.75
840,자연재난 행동요령,DialogAdapter,IT-0035,자연재난 국민안전행동요령,1.0
841,자연재난 대처법 알려줘,DialogAdapter,IT-0138,재난대비 국민안전행동요령,0.8944271909999159
842,자연재난 대처법,DialogAdapter,IT-0035,자연재난 국민안전행동요령,0.93
843,자연재난 대비,DialogAdapter,IT-0138,재난대비 국민안전행동요령,0.8660254037844388
844,자연재난 대처법,DialogAdapter,IT-0035,자연재난 국민안전행동요령,0.93
845,자연재난,DialogAdapter,IT-0035,자연재난 국민안전행동요령,1.0
846,재난상황 대처,DialogAdapter,IT-0115,교통사고 국민안전행동요령,0.6666666666666669
847,안전수칙,DialogAdapter,IT-0034,국민안전행동요령,1.0
848,안전수칙 알려줘,DialogAdapter,IT-0034,국민안전행동요령,0.9999999999999998
849,안전수칙 요령,DialogAdapter,IT-0034,국민안전행동요령,0.816496580927726
850,안전수칙 요령,DialogAdapter,IT-0034,국민안전행동요령,0.816496580927726
851,안전행동 요령,DialogAdapter,IT-0034,국민안전행동요령,1.0000000000000002
852,안전행동,DialogAdapter,IT-0034,국민안전행동요령,0.9999999999999998
853,재난상황 대처법,DialogAdapter,IT-0115,교통사고 국민안전행동요령,0.75
854,재난상황 대처법,DialogAdapter,IT-0115,교통사고 국민안전행동요령,0.75
855,긴급상황 대처법,DialogAdapter,IT-0085,응급처치 국민안전행동요령,0.75
856,코로나 방역수칙,DialogAdapter,IT1607321122687001,코로나19 신고 유형 안내,1.0000000000000002
857,상담시작,DialogAdapter,IT-0017,챗봇상담시작,1.0
858,상담하자,DialogAdapter,IT-0017,챗봇상담시작,1.0
859,상담할께,DialogAdapter,IT-0017,챗봇상담시작,1.0
860,상담시작,DialogAdapter,IT-0017,챗봇상담시작,1.0
861,방역수칙,DialogAdapter,IT1607321122687001,코로나19 신고 유형 안내,0.9999999999999998
862,코로나에 대해,DialogAdapter,IT-0031,코로나 예방 수칙 안내,0.7071067811865475
863,고로나,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
864,코로나가 뭐야?,DialogAdapter,IT-0236,코로나19 질병 문의,1.0
865,코로나 설명해줘,DialogAdapter,IT1607321122687001,코로나19 신고 유형 안내,0.7071067811865475
866,코로나 설명,DialogAdapter,IT-0029,코로나19,0.7071067811865475
867,코로나에 관해 말해줘,DialogAdapter,IT1607321122687001,코로나19 신고 유형 안내,0.7071067811865475
868,코로나 의심 증상,DialogAdapter,IT-0238,코로나19 증상 문의,1.0000000000000002
869,코로나,DialogAdapter,IT-0029,코로나19,1.0
870,신고 사례,DialogAdapter,IT-0025,주요처리사례 보기,0.9999999999999998
871,신고 사례,DialogAdapter,IT-0025,주요처리사례 보기,0.9999999999999998
872,신고 처리사례,DialogAdapter,IT-0025,주요처리사례 보기,0.8660254037844388
873,신고 사례,DialogAdapter,IT-0025,주요처리사례 보기,0.9999999999999998
874,안신봇 소개,DialogAdapter,IT-0018,환영인사,0.7071067811865475
875,안신고 소개,DialogAdapter,IT-0023,안전신문고 소개,0.7071067811865475
876,주로 어떤걸 신고해?,DialogAdapter,IT-0020,신고 안내,0.9999999999999998
877,신문고 소개,DialogAdapter,IT-0023,안전신문고 소개,1.0
878,신문고 소개,DialogAdapter,IT-0023,안전신문고 소개,1.0
879,안전신문고 소개,DialogAdapter,IT-0023,안전신문고 소개,1.0
880,신문고 소개,DialogAdapter,IT-0023,안전신문고 소개,1.0
881,신문고소개,DialogAdapter,IT-0023,안전신문고 소개,1.0
882,안전 신문고 소개해줘,DialogAdapter,IT-0023,안전신문고 소개,1.0
883,안전 신문고 소개해줘,DialogAdapter,IT-0023,안전신문고 소개,1.0
884,신문고 소개해줘,DialogAdapter,IT-0023,안전신문고 소개,0.9999999999999998
885,주차위반,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,1.0
886,주차 위반 신고,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,1.0000000000000002
887,불법주전차,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,1.0
888,불법주정차,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,0.9999999999999998
889,불법 주차,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,1.0
890,주차위반 신고,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,1.0000000000000002
891,신고 하는 방법,DialogAdapter,IT-0020,신고 안내,0.91
892,신고 어떻게해?,DialogAdapter,IT-0020,신고 안내,0.92
893,신고 하는 방법,DialogAdapter,IT-0020,신고 안내,0.91
894,잘가.,DialogAdapter,IT-0019,종료인사,0.9999999999999998
895,잘가,DialogAdapter,IT-0019,종료인사,0.9999999999999998
896,고마웠어,DailyDialogAdapter,IT1603712928903001,고마워,1.0
897,안녕,DialogAdapter,IT-0018,환영인사,1.0
898,잘지내?,DialogAdapter,IT-0019,종료인사,0.7071067811865475
899,반가워!!,DialogAdapter,IT-0018,환영인사,1.0
900,불편,DialogAdapter,IT1606892768439001,생활불편신고 유형 안내,1.0
901,신고,DialogAdapter,IT-0020,신고 안내,1.0
902,싱거,DialogAdapter,IT-0020,신고 안내,1.0
903,신,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
904,신고를하려고 왔어 코로나19관련정보와 아무것도 관계없는 자주묻는질문 해줘,DOUB API,IT-0234,코로나 자주하는 질문,1.0
905,도와줘,DialogAdapter,IT-0179,도움말 요청,1.0
906,제가 억울하고 하면 문자을  파킨슨병 인데요 14년 열심히,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
907,제가 파킨슨병 걸린지¹    ㅣ1.~12년 되는데 제가거의 누워있고 요 나가지도 않고  청소도자주하고요 4시간 마다 약먹여야 될 는ㄷㆍㅇㅑㄱ먹으면 고등어 오고30ㅂ여서 길거1는3시간 못 움직여서  일반사람이 보면 불쌍해 보이죠  저5어ㄸㆍ1ㅇ4ㅔ하9ㅛ,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
908,66ㅇ4ㅇ5~1168117김영덕  010 74154259 입니다  전 신고는 안돼 서 저가 파킨슨병 10~11년정도 라 일은5년정도  안해서 너무힘들어서  주민센터에서 용정미선생님을 만나,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
909,악취신고,DialogAdapter,IT1607320217567001,대기·수질오염 신고 안내,0.9999999999999998
910,민원 처리가 안되고 있어,DialogAdapter,IT-0154,신고 처리 결과 불만족,0.7071067811865475
911,주차신고,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,1.0
912,담배꽁초 투기,DialogAdapter,IT1606892768439001,생활불편신고 유형 안내,1.0
913,담배꽁초,DialogAdapter,IT1606892768439001,생활불편신고 유형 안내,1.0
914,공사장 소음신고,DialogAdapter,IT1607320172233001,"건설, (해체)공사장 위험",0.6666666666666669
915,신고했는데 결과처리 언제됩니까,DialogAdapter,IT1610008152088001,신고 처리 기간 문의,0.816496580927726
916,해피콜 서비스가 뭔지 알려줘,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
917,해피콜서비스,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
918,해피콜 서비스는 어디에 있는거지?,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
919,복도에 짐 신고,DialogAdapter,IT1607320457270001,기타 안전·환경 위험요인 신고 안내,0.816496580927726
920,복도에 짐,DialogAdapter,IT1607320457270001,기타 안전·환경 위험요인 신고 안내,1.0
921,주정차위반신거 어떻게해?,DialogAdapter,IT1607321117030001,기타 불법주정차 신고 안내,0.8660254037844388
922,처리결과,DialogAdapter,IT-0154,신고 처리 결과 불만족,0.9999999999999998
923,장애인불법주차를 신고하려고 합니다,DialogAdapter,IT1607321112433001,장애인 전용구역 불법주정차 신고 안내,0.75
924,신호위반 폰카메라로 신고가능해?,DialogAdapter,IT1607320239691001,교통위반 신고 안내,0.8164965809277261
925,신호위반 어떻게 신고해?,DialogAdapter,IT1607320239691001,교통위반 신고 안내,0.8660254037844388
926,버스전용차로,DialogAdapter,IT1607320500673001,버스정류소 불법주정차 신고 안내,1.0
927,새만금 방조제쪽 순찰 함 돌아주세요.  난민촌같다는데 …,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
928,도움말,DialogAdapter,IT-0179,도움말 요청,1.0
929,민원 신고 할 수 있어?,DialogAdapter,IT-0020,신고 안내,0.7071067811865475
930,마일리지 점수가 몆점일때 포상을하나요,DialogAdapter,IT1610011710928001,마일리지 및 포상제도 문의,0.7071067811865477
931,포상금,DialogAdapter,IT1610011710928001,마일리지 및 포상제도 문의,1.0
932,기념품,DialogAdapter,IT1610011710928001,마일리지 및 포상제도 문의,1.0
933,기념품은..마일리지가 몆점일때 주나요,DialogAdapter,IT1610011710928001,마일리지 및 포상제도 문의,0.6324555320336758
934,코로나신고,DialogAdapter,IT1607321122687001,코로나19 신고 유형 안내,0.9999999999999998
935,거리두기 위반,DialogAdapter,IT1607322793809001,밀폐·밀집·밀접이 일어난 경우 신고 안내,0.816496580927726
936,코로나 밀접 집합,DialogAdapter,IT-0241,코로나19 접촉자 문의,0.6666666666666669
937,감염법위반신고,DialogAdapter,IT1607321122687001,코로나19 신고 유형 안내,1.0
938,신고 어떻게해,DialogAdapter,IT-0020,신고 안내,0.92
939,익명보장,DialogAdapter,IT1610012062520001,익명보장 확인,0.9999999999999998
940,코로나19 신고 익명보장 되나요?,DialogAdapter,IT1607321122687001,코로나19 신고 유형 안내,0.7071067811865475
941,통행방해,DialogAdapter,IT1607320457270001,기타 안전·환경 위험요인 신고 안내,1.0
942,통행권 방해,DialogAdapter,IT1607320457270001,기타 안전·환경 위험요인 신고 안내,1.0
943,신호위반,DialogAdapter,IT1607320239691001,교통위반 신고 안내,1.0
944,범칙금,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
945,정지선 위반,DialogAdapter,IT1607321097021001,횡단보도 불법주정차 신고 안내,0.816496580927726
946,정지선 위반,DialogAdapter,IT1607321097021001,횡단보도 불법주정차 신고 안내,0.816496580927726
947,비가 많이 오면 어떻게,DialogAdapter,IT-0036,태풍 호우 국민안전행동요령,1.0
948,불법현수막,DialogAdapter,IT1606898609134001,불법광고물 신고 안내,1.0
949,볼라드,DialogAdapter,IT1607320061875001,도로·시설물 파손 및 고장 신고 안내,0.7071067811865475
950,도로표지판,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
951,이륜차도 신고해서 경찰서로 이관,DialogAdapter,IT1607321117030001,기타 불법주정차 신고 안내,0.7071067811865475
952,불법 주차 신고 방법,DialogAdapter,IT-0193,불법주정차 신고 촬영 방법 안내,0.8944271909999159
953,공사현장 소음,DialogAdapter,IT1620715040970001,비긴급 신고,1.0000000000000002
954,처리결과 카톡으로 받았습니다,DialogAdapter,IT-0153,신고 처리 관련 문의,0.8660254037844388
955,봉사시간,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
956,1365 봉사,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
957,1365,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
958,불법주정차 사진등록안내,DialogAdapter,IT-0193,불법주정차 신고 촬영 방법 안내,0.6708203932499369
959,사회적거리두기 신고,DialogAdapter,IT1607322805559001,"출입자 관리 위반, 마스크 미착용 신고 안내",1.0
960,인도에 주차된 차량을 안전신문고로 산고했더니 불수용 통지를 해왔습니다 인도에 주처된 차량은 산고하나 마나네요,DOUB API,IT1607320483954001,불법주정차 신고 유형 안내,1.0
961,알겠어요,DialogAdapter,IT-0018,환영인사,0.7071067811865475
962,신고시 익명 보장,DialogAdapter,IT1610012062520001,익명보장 확인,0.6666666666666669
963,신고결과조회,DialogAdapter,IT-0152,신고 내역 조회,0.816496580927726
964,인도주차,DialogAdapter,IT1607321117030001,기타 불법주정차 신고 안내,1.0
965,뽕밭 어린이,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
966,어떻게 수용이 되었다는 말씀이신지,DialogAdapter,IT1610007855287001,신고 처리 기관 문의,1.0
967,처리결과가 수용이라고 되어 있는데,DialogAdapter,IT1610007855287001,신고 처리 기관 문의,0.93
968,전에 민원접수했는데 아직도 시정이 안 됬어요,DialogAdapter,IT-0154,신고 처리 결과 불만족,1.0
969,신문고 와 같은 앱을 통해서도  신고를 할수 있도록 할수 없을까요.?,DialogAdapter,IT-0020,신고 안내,1.0000000000000002
970,영업용 화물차 차고지 아니 곳에 장기간 주차에 대해 해당 구청에 몇번을 민원을 제기 했으나  고무줄 단속입니다.,DOUB API,IT1607320483954001,불법주정차 신고 유형 안내,1.0
971,알겠습니다,DialogAdapter,IT-0018,환영인사,0.7071067811865475
972,그럼 오토바이 번호판 가림  과태료,DialogAdapter,IT1607320466288001,자전거·이륜차 방치 및 불편 신고 안내,0.8660254037844388
973,번호판 가림 위반,DialogAdapter,IT1607320239691001,교통위반 신고 안내,1.0
974,카카오 메일은 안되나요?,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
975,ㅡㅡ,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
976,그럼  실제 주차장 눈봐요 주차장 주차공간 짧게해요,DOUB API,IT1607320483954001,불법주정차 신고 유형 안내,1.0
977,일반 주차장 칸,DOUB API,IT1607320483954001,불법주정차 신고 유형 안내,1.0
978,답답해요 ㅋㅋ,DialogAdapter,IT1620799745019001,응답 불만족,1.0
979,주차장 칸 수정했습니다 요청,DialogAdapter,IT1607321112433001,장애인 전용구역 불법주정차 신고 안내,0.7071067811865475
980,일시정지,DialogAdapter,IT-0019,종료인사,1.0
981,주차장 주차공간  주차선 공간이 없음  문열면 문콕 안전사고예방  주차선 넓게 수정해서 공간을 확보했으면  주,DOUB API,IT1607320483954001,불법주정차 신고 유형 안내,1.0
