,사용자발화,엔진결과_module,엔진결과_intent_id,엔진결과_intent_title
364,여행객 코로나 유의사항,DialogAdapter,IT-0227,코로나 대상별 유의사항
365,코로나 의료기관 유의사항,DialogAdapter,IT-0232,코로나 의료기관 유의사항
366,의료기관 코로나 유의사항,DialogAdapter,IT-0232,코로나 의료기관 유의사항
367,코로나 외식업 종사자 유의사항,DialogAdapter,IT-0233,코로나 외식업 종사자 유의사항
368,종사자 코로나 유의사항,DialogAdapter,IT-0233,코로나 외식업 종사자 유의사항
369,코로나 자주하는 질문,DialogAdapter,IT-0234,코로나 자주하는 질문
370,코로나 FAQ,DialogAdapter,IT-0234,코로나 자주하는 질문
371,코로나 질병 문의,DialogAdapter,IT1604366509372001,코로나19 선별진료소 문의
372,코로나 정식명칭,DialogAdapter,IT-0237,코로나19 명칭 문의
373,코로나 정식명칭을 뭐라고 불러?,DialogAdapter,IT-0237,코로나19 명칭 문의
374,코로나 증상,DialogAdapter,IT1615447411189001,코로나 유증상자 유의사항
375,코로나 전염경로,DialogAdapter,IT-0239,코로나19 전염 경로 문의
376,코로나 전염,DialogAdapter,IT-0239,코로나19 전염 경로 문의
377,코로나 접촉자,DialogAdapter,IT-0241,코로나19 접촉자 문의
378,코로나 치료ㆍ치료법,DialogAdapter,IT-0242,코로나19 치료법 문의
379,코로나 백신,DialogAdapter,IT-0242,코로나19 치료법 문의
380,코로나 위험군,DialogAdapter,IT-0243,코로나19 위험군 문의
381,코로나 위험한사람,DialogAdapter,IT-0243,코로나19 위험군 문의
382,코로나 음식전염,DialogAdapter,IT-0244,코로나19 음식 전염 문의
383,코로나 음식 감염,DialogAdapter,IT-0244,코로나19 음식 전염 문의
384,안드로이드 접근성 설정 안내ㆍ방법,DialogAdapter,IT-0249,Android 접근성 설정 안내
385,안드로이드 접근성,DialogAdapter,IT-0249,Android 접근성 설정 안내
386,아이폰 접근성 설정,DialogAdapter,IT-0250,iOS 접근성 설정 안내
387,애플 접근성 설정,DialogAdapter,IT-0250,iOS 접근성 설정 안내
388,무너진 구조물에 갇힌경우,DialogAdapter,IT-0650,붕괴된 구조물에 갇힌 경우
389,붕괴된 구조물에 깔린경우,DialogAdapter,IT-0650,붕괴된 구조물에 갇힌 경우
390,코로나 신고ㆍ위법 대상,DialogAdapter,IT-0679,코로나19 신고 대상
391,코로나 선별진료소,DialogAdapter,IT1604366509372001,코로나19 선별진료소 문의
392,코로나 선별진료소 위치,DialogAdapter,IT1604366509372001,코로나19 선별진료소 문의
393,선별진료소,DialogAdapter,IT1604366509372001,코로나19 선별진료소 문의
394,마스크 착용법ㆍ착용방법,DialogAdapter,IT1604393596688001,코로나19 마스크 착용법
395,일상생활 불편신고,DialogAdapter,IT1606892768439001,생활불편신고 유형 안내
396,불편신고,DialogAdapter,IT1606892768439001,생활불편신고 유형 안내
397,불법광고,DialogAdapter,IT1606898609134001,불법광고물 신고 안내
398,불법ㆍ위법광고 신고,DialogAdapter,IT1606898609134001,불법광고물 신고 안내
399,안전신고 유형ㆍ종류,DialogAdapter,IT1607320056137001,안전 신고 유형 안내
400,도로 손상 신고,DialogAdapter,IT1607320061875001,도로·시설물 파손 및 고장 신고 안내
401,도로시설 훼손,DialogAdapter,IT1607320061875001,도로·시설물 파손 및 고장 신고 안내
402,도로손상 신고법ㆍ신고내용 작성법,DialogAdapter,IT1607320061875001,도로·시설물 파손 및 고장 신고 안내
403,공사장 위험,DialogAdapter,IT1607320172233001,"건설, (해체)공사장 위험"
404,건설 공사장 위험,DialogAdapter,IT1607320176518001,"건설, (해체)공사장 위험 신고내용 작성요령"
405,건설중인 공사장 위험,DialogAdapter,IT1607320176518001,"건설, (해체)공사장 위험 신고내용 작성요령"
406,건설 공사장 위험신고내용 작성법,DialogAdapter,IT1607320176518001,"건설, (해체)공사장 위험 신고내용 작성요령"
407,건설 공사장 위험신고내용 작성내용,DialogAdapter,IT1607320176518001,"건설, (해체)공사장 위험 신고내용 작성요령"
408,지하수로 방치,DialogAdapter,IT1607320211556001,지하수 미등록 시설·방치공 신고 안내
409,지하수도 미등록 신고,DialogAdapter,IT1607320211556001,지하수 미등록 시설·방치공 신고 안내
410,지하수로 방치 신고내용 작성법,DialogAdapter,IT1607320211556001,지하수 미등록 시설·방치공 신고 안내
411,지하수도 미등록 신고내용 작성,DialogAdapter,IT1607320211556001,지하수 미등록 시설·방치공 신고 안내
412,매연ㆍ오수ㆍ폐수 무단 배출 신고,DialogAdapter,IT1607320217567001,대기·수질오염 신고 안내
413,매연ㆍ오수ㆍ폐수 무단 배출 신고 작성내용,DialogAdapter,IT1607320217567001,대기·수질오염 신고 안내
414,쓰레기ㆍ폐기물ㆍ유독물 무단 배출ㆍ투기 신고,DialogAdapter,IT1607320222804001,쓰레기·폐기물·유독물 신고 안내
415,쓰레기ㆍ폐기물ㆍ유독물 무단 배출ㆍ투기 신고 작성내용,DialogAdapter,IT1607320222804001,쓰레기·폐기물·유독물 신고 안내
416,차선침범ㆍ역주행ㆍ신호위반ㆍ속도위반 신고,DialogAdapter,IT1607320239691001,교통위반 신고 안내
417,차선침범ㆍ역주행ㆍ신호위반ㆍ속도위반 신고 작성내용,FallbackAdapter,IT-FALLBACK,폴백 메시지
418,기타 위험요인 신고,DialogAdapter,IT1607320457270001,기타 안전·환경 위험요인 신고 안내
419,그 밖에 위험요인 신고,DialogAdapter,IT1607320457270001,기타 안전·환경 위험요인 신고 안내
420,불법광고 신고내용 작성법,DialogAdapter,IT1606898609134001,불법광고물 신고 안내
421,불법광고 신고 작성내용,DialogAdapter,IT1606898609134001,불법광고물 신고 안내
422,자전거 장기간 방치 신고,DialogAdapter,IT1607320466288001,자전거·이륜차 방치 및 불편 신고 안내
423,오토바이 오랜시간동안 방치 신고,DialogAdapter,IT1607320466288001,자전거·이륜차 방치 및 불편 신고 안내
424,자전거 장기간 방치 신고내용 작성법,DialogAdapter,IT1607320466288001,자전거·이륜차 방치 및 불편 신고 안내
425,청소년ㆍ학생ㆍ미성년자 유해 업소 신고,DialogAdapter,IT1607320470551001,청소년 유해 업소 신고 안내
426,청소년ㆍ학생ㆍ미성년자 유해 업소 신고내용 작성법,DialogAdapter,IT1607320470551001,청소년 유해 업소 신고 안내
427,연료ㆍ에너지 낭비 신고,DialogAdapter,IT1607320474688001,에너지 과소비 신고 안내
428,연료ㆍ에너지 과소비 신고,DialogAdapter,IT1607320474688001,에너지 과소비 신고 안내
429,연료ㆍ에너지 과소비ㆍ낭비 신고내용 작성법,DialogAdapter,IT1607320474688001,에너지 과소비 신고 안내
430,기타 생활 신고,DialogAdapter,IT1607320479310001,기타 생활불편 신고 안내
431,그 밖에 생활 신고,DialogAdapter,IT1607320457270001,기타 안전·환경 위험요인 신고 안내
432,불법 주차 신고 종류ㆍ유형,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내
433,소화전 불법 주차 신고,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내
434,소화전 주차 신고,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내
435,교차로 변두리 주차 신고,DialogAdapter,IT1607320490320001,교차로 모퉁이 불법주정차 신고 안내
436,소화전 불법 주차 신고 작성내용,DialogAdapter,IT1607320487634001,소화전 불법주정차 신고 안내
437,소화전 주차 신고내용 작성법,DOUB API,IT1607320493773001,소화전 불법주정차 신고내용 작성요령
438,교차로 변두리 주차 신고내용 작성법,DialogAdapter,IT1607320490320001,교차로 모퉁이 불법주정차 신고 안내
439,버스정류장 불법주차 신고,DialogAdapter,IT1607320500673001,버스정류소 불법주정차 신고 안내
440,버스정류장 불법주차 신고내용 작성법,DialogAdapter,IT1607320500673001,버스정류소 불법주정차 신고 안내
441,횡단보도 불법주차ㆍ주차 신고,DialogAdapter,IT1607321097021001,횡단보도 불법주정차 신고 안내
442,횡단보도 불법주차ㆍ주차 신고내용 작성법,DialogAdapter,IT1607321097021001,횡단보도 불법주정차 신고 안내
443,어린이구역 주차 신고,DialogAdapter,IT1607321104145001,어린이보호구역 불법주정차 신고 안내
444,어린이구역 불법주차 신고,DialogAdapter,IT1607321104145001,어린이보호구역 불법주정차 신고 안내
445,어린이구역 불법주차 신고내용 작성법,DOUB API,IT1607320483954001,불법주정차 신고 유형 안내
446,장애인용구역 불법주차 신고,DialogAdapter,IT1607321112433001,장애인 전용구역 불법주정차 신고 안내
447,장애인 주차장 주차,DialogAdapter,IT1607321112433001,장애인 전용구역 불법주정차 신고 안내
448,장애인용구역 불법주차 신고내용 작성법,DialogAdapter,IT1607321112433001,장애인 전용구역 불법주정차 신고 안내
449,기타 불법주차 신고,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내
450,그밖에 불법주차 신고,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내
451,기타 불법주차 신고작성 내용,DialogAdapter,IT1607321117030001,기타 불법주정차 신고 안내
452,그 밖에 불법주차 신고작성 내용,DialogAdapter,IT1610007279725001,불법 주정차 사진 촬영 어려움
453,코로나 신고 유형,DialogAdapter,IT1607321122687001,코로나19 신고 유형 안내
454,코로나 유형별 신고,DialogAdapter,IT1607321122687001,코로나19 신고 유형 안내
455,집합금지 위반 영업 신고,DialogAdapter,IT1607321124767001,집합금지 조치를 위반한 영업·모임 신고 안내
456,집합금지 위반 모임,DialogAdapter,IT1607321124767001,집합금지 조치를 위반한 영업·모임 신고 안내
457,집합금지 위반 영업 신고내용 작성법,DialogAdapter,IT1607321124767001,집합금지 조치를 위반한 영업·모임 신고 안내
458,자가격리 탈주 신고,DialogAdapter,IT1607321129407001,자가격리 무단이탈 신고 안내
459,자가격리 이탈 신고,DialogAdapter,IT1607321129407001,자가격리 무단이탈 신고 안내
460,자가격리 탈주 신고내용 작성법,DialogAdapter,IT1607321129407001,자가격리 무단이탈 신고 안내
461,자가격리 이탈 신고 작성내용,DialogAdapter,IT1607321129407001,자가격리 무단이탈 신고 안내
462,밀집 모임 신고,DialogAdapter,IT1607321124767001,집합금지 조치를 위반한 영업·모임 신고 안내
463,밀폐 공간 모임 신고,FallbackAdapter,IT-FALLBACK,폴백 메시지
464,밀집 모임 신고 작성내용,FallbackAdapter,IT-FALLBACK,폴백 메시지
465,밀폐 공간 모임 신고내용 작성법,FallbackAdapter,IT-FALLBACK,폴백 메시지
466,마스크 착용 거부 신고,DialogAdapter,IT1607322805559001,"출입자 관리 위반, 마스크 미착용 신고 안내"
467,출입자 관리 거부 신고,DialogAdapter,IT1607322805559001,"출입자 관리 위반, 마스크 미착용 신고 안내"
468,마스크 착용 거부 신고 작성내용,DialogAdapter,IT1607322805559001,"출입자 관리 위반, 마스크 미착용 신고 안내"
469,출입자 관리 거부 신고내용 작성법,DialogAdapter,IT1607322805559001,"출입자 관리 위반, 마스크 미착용 신고 안내"
470,감연 차단 의견 제안ㆍ신고,FallbackAdapter,IT-FALLBACK,폴백 메시지
471,감연 차단 의견 제안ㆍ신고내용 작성법,FallbackAdapter,IT-FALLBACK,폴백 메시지
472,자주 일어나는 신고,DialogAdapter,IT1610004713248001,자주하는 신고 문의
473,자주 하는 신고,DialogAdapter,IT1610004713248001,자주하는 신고 문의
474,비회원 신고,DialogAdapter,IT-0020,신고 안내
475,회원에 대해 질문할게 있어,DialogAdapter,IT1610004799773001,회원 문의
476,회원 문의,DialogAdapter,IT1610004799773001,회원 문의
477,개인정보,DialogAdapter,IT1610004912593001,개인정보 문의
478,개인정보에 대해 질문 할게 있어,DialogAdapter,IT1610004912593001,개인정보 문의
479,코로나 신고 번호,DialogAdapter,IT1610005624660001,코로나 신고 전화번호 문의
480,코로나 신고할수 있는곳 전화번호 알려줘,DialogAdapter,IT1610005624660001,코로나 신고 전화번호 문의
481,블랙박스가 신고증거로 충분할까?,DialogAdapter,IT1610006585591001,블랙박스 신고 가능여부 문의
482,왜 신고가 불수용으로 처리돼?,DialogAdapter,IT-0153,신고 처리 관련 문의
483,갤러리 사진은 신고가 안돼?,DialogAdapter,IT1610006675435001,일반 갤러리 사진으로 불법주정차 신고
484,갤러리로 신고하기,DialogAdapter,IT1610006675435001,일반 갤러리 사진으로 불법주정차 신고
485,신고 유형 선택,DialogAdapter,IT1610006716169001,신고유형 선택 문의
486,신고 시 알맞은 신고 유형이 없는 경우,DialogAdapter,IT-0020,신고 안내
487,불법주차 과태료 대상,DialogAdapter,IT-0022,불법주정차 신고 대상
488,불법주차 과태료,DialogAdapter,IT1610006846835001,불법 주정차 과태료 부과 여부 문의
489,불법주차 사진찍이 어려운 상황일때,DialogAdapter,IT1610007279725001,불법 주정차 사진 촬영 어려움
490,신고 수정,DialogAdapter,IT1610007305977001,신고 수정·변경 및 삭제
491,신고 변경,DialogAdapter,IT1610007305977001,신고 수정·변경 및 삭제
492,신고 삭제,DialogAdapter,IT-0156,신고 취하
493,신고 처리 문의ㆍ목록,DialogAdapter,IT1610007459749001,신고 처리 문의
494,신고 처리 기관 문의,DialogAdapter,IT1610007855287001,신고 처리 기관 문의
495,신고 기관,DialogAdapter,IT1610007855287001,신고 처리 기관 문의
496,신고 후 언제쯤 처리가 돼?,DialogAdapter,IT1610008152088001,신고 처리 기간 문의
497,신고 후 언제쯤 처리가 완료돼?,DialogAdapter,IT1610008152088001,신고 처리 기간 문의
498,신고 처리시 절차,DialogAdapter,IT1610008160192001,신고 처리 절차 문의
499,앱 이용 어떻게 해?,DialogAdapter,IT-0179,도움말 요청
500,앱 이용 방법,DialogAdapter,IT-0179,도움말 요청
501,GPS 조회 오류,DialogAdapter,IT-0160,GPS 작동 오류
502,위치추적 조회 오류,DialogAdapter,IT1610008551627001,GPS 조회 오류
503,음성기능 사용법,DialogAdapter,IT1610008602453001,앱 음성 안내 문의
504,음성기능,DialogAdapter,IT1610008602453001,앱 음성 안내 문의
505,핸드폰 음성 기능,DialogAdapter,IT1610008602453001,앱 음성 안내 문의
506,모바일 음성 기능,DialogAdapter,IT1610008602453001,앱 음성 안내 문의
507,통합검색,DialogAdapter,IT1610008687957001,통합검색 이용 문의
508,신문고 검색창,DialogAdapter,IT1610008687957001,통합검색 이용 문의
509,자동로그인,DialogAdapter,IT1610008901644001,자동로그인 설정
510,자동로그인 기능 있어?,DialogAdapter,IT1610008901644001,자동로그인 설정
511,로그인이 계속 유지되는 기능,DialogAdapter,IT1610008901644001,자동로그인 설정
512,사진 저장 오류,DialogAdapter,IT1610009003065001,앱내 사진 촬영시 사진 저장 오류
513,사진촬영 저장 오류,DialogAdapter,IT1610009003065001,앱내 사진 촬영시 사진 저장 오류
514,사진 촬영 오류,DialogAdapter,IT1610009003065001,앱내 사진 촬영시 사진 저장 오류
515,신고 내용 리셋,DialogAdapter,IT1610010357786001,신고 내용 작성시 리셋
516,신고 내용 작성중 리셋,DialogAdapter,IT1610010357786001,신고 내용 작성시 리셋
517,신고 내용 초기화,DialogAdapter,IT1610007305977001,신고 수정·변경 및 삭제
518,신고 내용 작성중 초기화,DialogAdapter,IT1610010689960001,돋보기 기능 해제
519,동영상 용량 제한,DialogAdapter,IT1631171040719001,동영상 첨부 용량 제한
520,신고 사진 용량 제한,DialogAdapter,IT1610010380119001,신고 미디어 첨부 용량 문의
521,알림 거부,FallbackAdapter,IT-FALLBACK,폴백 메시지
522,알림 차단,FallbackAdapter,IT-FALLBACK,폴백 메시지
523,돋보기 기능,DialogAdapter,IT1610010689960001,돋보기 기능 해제
524,돋보기 해제,DialogAdapter,IT1610010689960001,돋보기 기능 해제
525,생활불편 신고 조회,DialogAdapter,IT1610011115117001,생활불편신고 앱 신고 조회
526,신고 사진 선택 안됌,DialogAdapter,IT1610011153358001,신고 사진 선택 불가 문의
527,신고 사진 선택법,DialogAdapter,IT1610011153358001,신고 사진 선택 불가 문의
528,신고 사진 선택,DialogAdapter,IT1610011153358001,신고 사진 선택 불가 문의
529,비번 변경,DialogAdapter,IT1610011339156001,비밀번호 변경 문의
530,비밀번호 변경,DialogAdapter,IT1610011339156001,비밀번호 변경 문의
531,앱 멈춤ㆍ정지 오류,FallbackAdapter,IT-FALLBACK,폴백 메시지
532,갑작스러운 인증번호,FallbackAdapter,IT-FALLBACK,폴백 메시지
533,요청안한 인증번호,DialogAdapter,IT1610011470185001,요청하지 않은 인증번호 문자 발송
534,의도치 않은 인증번호,DialogAdapter,IT1610011470185001,요청하지 않은 인증번호 문자 발송
535,법인 인증,DialogAdapter,IT1610011536258001,법인 휴대폰 인증 문의
536,법인 휴대전화 인증,DialogAdapter,IT1610011536258001,법인 휴대폰 인증 문의
537,재가입,DialogAdapter,IT1610011542040001,재가입 문의
538,회원 재가입,DialogAdapter,IT1610011542040001,재가입 문의
539,안전보안관ㆍ안전모니터봉사단 회원정보 수정,DialogAdapter,IT1610011674292001,안전보안관 회원정보수정
540,마일리지 포상,DialogAdapter,IT1610011710928001,마일리지 및 포상제도 문의
541,마일리지에 대해 알려줘,DialogAdapter,IT1610011710928001,마일리지 및 포상제도 문의
542,포상 제도,DialogAdapter,IT1610011710928001,마일리지 및 포상제도 문의
543,개인정보 유출,DialogAdapter,IT1610012057581001,개인정보유출 확인
544,유출된 개인정보,DialogAdapter,IT1610012057581001,개인정보유출 확인
545,익명성 보장,DialogAdapter,IT1610012062520001,익명보장 확인
546,신고할때 익명성 보장이 돼?,DOUB API,IT1610012062520001,익명보장 확인
547,개인정보 수집,DialogAdapter,IT1610012102532001,개인정보수집동의
548,수집이 필요한 개인정보,DialogAdapter,IT1610012102532001,개인정보수집동의
549,전화번호를 변경했는데 회원정보가 조회가 안돼,DOUB API,IT-0221,안신앱 운영센터 전화 연결
550,FAQ,DialogAdapter,IT1610012191677001,자주하는질문
551,자주하는 질문,DialogAdapter,IT1610012191677001,자주하는질문
552,이의제기,DialogAdapter,IT1610415079894001,이의제기 문의
553,이의제기 하고싶어,DialogAdapter,IT1610415079894001,이의제기 문의
554,코로나 증상자 주의사항,DialogAdapter,IT1615447411189001,코로나 유증상자 유의사항
555,긴급!,DialogAdapter,IT1620290343011001,긴급 신고
556,긴급신고,DialogAdapter,IT1620290343011001,긴급 신고
557,비 긴급신고,DialogAdapter,IT1620290343011001,긴급 신고
558,너 마음에 안들어,DialogAdapter,IT1620799745019001,응답 불만족
559,답변이 불만족,DialogAdapter,IT-0154,신고 처리 결과 불만족
560,앱 실행,DialogAdapter,IT1624933997476001,앱 실행
561,애플리케이션 실행,DialogAdapter,IT1624933997476001,앱 실행
562,사진 간격 기준,DialogAdapter,IT1631086105335001,불법 주정차 신고 사진 1분 간격
563,불법 주차 신고 사진 간격,DialogAdapter,IT1631086105335001,불법 주정차 신고 사진 1분 간격
564,불법 주자 신고 문의,DialogAdapter,IT1607321117030001,기타 불법주정차 신고 안내
565,불법 주차 신고,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내
566,불법 주정차 신고 유형,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내
567,불법 주차 동영상 첨부 불가능,DialogAdapter,IT1631089353992001,불법 주정차 신고 동영상 첨부 불가능
568,불법주차 신고 기한,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내
569,불법주차 신고 언제까지 해야돼?,DialogAdapter,IT-0022,불법주정차 신고 대상
570,장애인구역 불법주차 신고 사진촬영,DialogAdapter,IT1607321112433001,장애인 전용구역 불법주정차 신고 안내
571,카메라 강제종료,DialogAdapter,IT1631090098846001,카메라 실행 후 20초 경과 시 종료 이유
572,갑자기 꺼진 카메라,DialogAdapter,IT1631090098846001,카메라 실행 후 20초 경과 시 종료 이유
573,중간에 꺼지는 카메라,DialogAdapter,IT1631090098846001,카메라 실행 후 20초 경과 시 종료 이유
574,퀵메뉴 설정,DialogAdapter,IT1631167692505001,퀵메뉴 기능 안내
575,퀵메뉴에 대해 알려줘,DialogAdapter,IT1631167692505001,퀵메뉴 기능 안내
576,편의성 메뉴,DialogAdapter,IT1631167692505001,퀵메뉴 기능 안내
577,연속 촬영 기능,DialogAdapter,IT1631169555952001,앱으로 사진 촬영 시 연속 촬영
578,연속촬영,DialogAdapter,IT1631169555952001,앱으로 사진 촬영 시 연속 촬영
579,연속촬영 하는법,DialogAdapter,IT1631169555952001,앱으로 사진 촬영 시 연속 촬영
580,화질 저하,DialogAdapter,IT1631170679798001,앱으로 사진 촬영시 화질 저하
581,촬영시 화질,DialogAdapter,IT1631170679798001,앱으로 사진 촬영시 화질 저하
582,사진 화질 높이는 법,DialogAdapter,IT1631170679798001,앱으로 사진 촬영시 화질 저하
