,사용자발화,엔진결과_module,엔진결과_intent_id,엔진결과_intent_title,엔진결과_confidence
309,안전신고통계,DialogAdapter,IT-0198,안전신고통계 보기,1.0
310,안전신고 통계 보여줘,DialogAdapter,IT-0198,안전신고통계 보기,1.0000000000000002
311,신고 통계,DialogAdapter,IT-0198,안전신고통계 보기,1.0
312,나의ㆍ내 마일리지,DialogAdapter,IT-0200,나의 마일리지 확인,0.7071067811865475
313,나의ㆍ내 마일리지 보여줘,DialogAdapter,IT-0200,나의 마일리지 확인,0.7071067811865475
314,안전행동 추천해줘,DialogAdapter,IT-0201,추천 국민안전행동요령,1.0000000000000002
315,어떤 안전행동을 하는게 좋을까?,DOUB API,IT-0034,국민안전행동요령,1.0
316,안전뉴스 추천,DialogAdapter,IT-0205,추천 안전 뉴스,1.0000000000000002
317,뉴스 추천,DialogAdapter,IT-0205,추천 안전 뉴스,0.9999999999999998
318,안전일기 보기,DialogAdapter,IT-0206,나의 안전일기 보기,0.9999999999999998
319,내 안전일기 보기,DialogAdapter,IT-0206,나의 안전일기 보기,0.9999999999999998
320,내 안전일기,DialogAdapter,IT-0206,나의 안전일기 보기,1.0
321,일기작성,DialogAdapter,IT-0207,나의 안전일기 작성,0.816496580927726
322,안전일기 작성방법,DialogAdapter,IT-0207,나의 안전일기 작성,0.8660254037844388
323,나의 안전일기 작성,DialogAdapter,IT-0207,나의 안전일기 작성,1.0000000000000002
324,알림,DialogAdapter,IT-0208,알림 수신함,0.7071067811865475
325,알림수신함,DialogAdapter,IT-0208,알림 수신함,0.7071067811865475
326,안전점검,DialogAdapter,IT-0211,자가 안전점검 조회,0.7071067811865475
327,안전점검 조회,DialogAdapter,IT-0211,자가 안전점검 조회,0.8660254037844388
328,내 안전점검 결과,DialogAdapter,IT-0212,자가 안전점검 결과,0.8660254037844388
329,안전전검 결과,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
330,안전점검 결과 알려줘~,DialogAdapter,IT-0212,자가 안전점검 결과,0.8660254037844388
331,회원탈퇴,DialogAdapter,IT-0213,회원 탈퇴,0.9999999999999998
332,회원탈퇴 하는법좀 알려줘~,DialogAdapter,IT-0213,회원 탈퇴,0.9999999999999998
333,홍보 영상,DialogAdapter,IT-0215,홍보영상 보기,0.9999999999999998
334,홍보 동영상,DialogAdapter,IT-0215,홍보영상 보기,1.0
335,홍보동영상 같은거 있어?,DialogAdapter,IT-0215,홍보영상 보기,0.9999999999999998
336,안전 뉴스,DialogAdapter,IT-0216,안전 뉴스 보기,1.0
337,안전 뉴스좀 보여줘,DialogAdapter,IT-0216,안전 뉴스 보기,0.9999999999999998
338,자료실,DialogAdapter,IT-0217,자료실 보기,1.0
339,안전신문고 자료 있어?,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
340,공지사항,DialogAdapter,IT-0218,공지사항 보기,1.0
341,공지사항 보여줘,DialogAdapter,IT-0218,공지사항 보기,0.9999999999999998
342,공지사항 어디서봐?,DialogAdapter,IT-0218,공지사항 보기,0.9999999999999998
343,안전신고 절차,DialogAdapter,IT-0219,안전 신고 절차,1.0
344,안전신고 절차가 어떻게돼?,DialogAdapter,IT1610008160192001,신고 처리 절차 문의,0.6666666666666669
345,접근성 설정,DialogAdapter,IT-0220,앱 접근성 설정 안내,1.0
346,접근성,DialogAdapter,IT1610008602453001,앱 음성 안내 문의,1.0
347,고객센터 전화번호,DialogAdapter,IT-0221,안신앱 운영센터 전화 연결,1.0
348,상담사 전화번호,DOUB API,IT-0221,안신앱 운영센터 전화 연결,1.0
349,코로나 발생 동향,DialogAdapter,IT-0224,코로나 발생동향,0.8660254037844388
350,코로나 발생 현황,DialogAdapter,IT-0224,코로나 발생동향,1.0000000000000002
351,코로나 동향,DialogAdapter,IT-0224,코로나 발생동향,0.816496580927726
352,코로나 현황,DialogAdapter,IT-0224,코로나 발생동향,0.9999999999999998
353,코로나 뉴스,DialogAdapter,IT-0225,코로나 뉴스 안내,0.9999999999999998
354,코로나 이슈,DialogAdapter,IT-0225,코로나 뉴스 안내,0.9999999999999998
355,코로나 주의사항,DialogAdapter,IT-0227,코로나 대상별 유의사항,1.0000000000000002
356,코로나 유의사항,DialogAdapter,IT-0227,코로나 대상별 유의사항,1.0000000000000002
357,코로나 일반인 유의사항,DialogAdapter,IT-0228,코로나 일반인 유의사항,1.0
358,일반인 코로나 유의사항,DialogAdapter,IT-0228,코로나 일반인 유의사항,1.0
359,코로나 자가격리대상자 유의사항,DialogAdapter,IT-0229,코로나 자가격리대상자 유의사항,0.9999999999999999
360,자가격리대상자 코로나 유의사항,DialogAdapter,IT-0229,코로나 자가격리대상자 유의사항,0.9258200997725515
361,코로나 자가격리자의 가족 및 동거인 유의사항,DialogAdapter,IT-0230,코로나 자가격리자의 가족 및 동거인 유의사항,0.6172133998483676
362,동거인 코로나 유의사항,DialogAdapter,IT-0227,코로나 대상별 유의사항,0.8660254037844388
363,코로나 입국자 및 해외 여행객 유의사항,DialogAdapter,IT-0231,코로나 입국자 및 해외 여행객 유의사항,1.0000000000000002
364,여행객 코로나 유의사항,DialogAdapter,IT-0227,코로나 대상별 유의사항,0.8660254037844388
365,코로나 의료기관 유의사항,DialogAdapter,IT-0232,코로나 의료기관 유의사항,0.9999999999999999
366,의료기관 코로나 유의사항,DialogAdapter,IT-0232,코로나 의료기관 유의사항,0.9999999999999999
367,코로나 외식업 종사자 유의사항,DialogAdapter,IT-0233,코로나 외식업 종사자 유의사항,0.9999999999999999
368,종사자 코로나 유의사항,DialogAdapter,IT-0233,코로나 외식업 종사자 유의사항,0.8944271909999159
369,코로나 자주하는 질문,DialogAdapter,IT-0234,코로나 자주하는 질문,0.9999999999999998
370,코로나 FAQ,DialogAdapter,IT-0234,코로나 자주하는 질문,0.9999999999999998
371,코로나 질병 문의,DialogAdapter,IT1604366509372001,코로나19 선별진료소 문의,0.6666666666666669
372,코로나 정식명칭,DialogAdapter,IT-0237,코로나19 명칭 문의,0.6666666666666669
373,코로나 정식명칭을 뭐라고 불러?,DialogAdapter,IT-0237,코로나19 명칭 문의,0.816496580927726
374,코로나 증상,DialogAdapter,IT1615447411189001,코로나 유증상자 유의사항,1.0
375,코로나 전염경로,DialogAdapter,IT-0239,코로나19 전염 경로 문의,1.0000000000000002
376,코로나 전염,DialogAdapter,IT-0239,코로나19 전염 경로 문의,0.9999999999999998
377,코로나 접촉자,DialogAdapter,IT-0241,코로나19 접촉자 문의,0.816496580927726
378,코로나 치료ㆍ치료법,DialogAdapter,IT-0242,코로나19 치료법 문의,0.816496580927726
379,코로나 백신,DialogAdapter,IT-0242,코로나19 치료법 문의,0.9999999999999998
380,코로나 위험군,DialogAdapter,IT-0243,코로나19 위험군 문의,1.0000000000000002
381,코로나 위험한사람,DialogAdapter,IT-0243,코로나19 위험군 문의,1.0000000000000002
382,코로나 음식전염,DialogAdapter,IT-0244,코로나19 음식 전염 문의,1.0000000000000002
383,코로나 음식 감염,DialogAdapter,IT-0244,코로나19 음식 전염 문의,1.0000000000000002
384,안드로이드 접근성 설정 안내ㆍ방법,DialogAdapter,IT-0249,Android 접근성 설정 안내,0.7745966692414834
385,안드로이드 접근성,DialogAdapter,IT-0249,Android 접근성 설정 안내,0.816496580927726
386,아이폰 접근성 설정,DialogAdapter,IT-0250,iOS 접근성 설정 안내,1.0000000000000002
387,애플 접근성 설정,DialogAdapter,IT-0250,iOS 접근성 설정 안내,1.0000000000000002
388,무너진 구조물에 갇힌경우,DialogAdapter,IT-0650,붕괴된 구조물에 갇힌 경우,0.816496580927726
389,붕괴된 구조물에 깔린경우,DialogAdapter,IT-0650,붕괴된 구조물에 갇힌 경우,1.0000000000000002
390,코로나 신고ㆍ위법 대상,DialogAdapter,IT-0679,코로나19 신고 대상,0.8660254037844388
391,코로나 선별진료소,DialogAdapter,IT1604366509372001,코로나19 선별진료소 문의,1.0000000000000002
392,코로나 선별진료소 위치,DialogAdapter,IT1604366509372001,코로나19 선별진료소 문의,0.8660254037844388
393,선별진료소,DialogAdapter,IT1604366509372001,코로나19 선별진료소 문의,0.9999999999999998
394,마스크 착용법ㆍ착용방법,DialogAdapter,IT1604393596688001,코로나19 마스크 착용법,0.8660254037844388
395,일상생활 불편신고,DialogAdapter,IT1606892768439001,생활불편신고 유형 안내,0.8660254037844388
396,불편신고,DialogAdapter,IT1606892768439001,생활불편신고 유형 안내,0.816496580927726
397,불법광고,DialogAdapter,IT1606898609134001,불법광고물 신고 안내,0.816496580927726
398,불법ㆍ위법광고 신고,DialogAdapter,IT1606898609134001,불법광고물 신고 안내,0.75
399,안전신고 유형ㆍ종류,DialogAdapter,IT1607320056137001,안전 신고 유형 안내,0.8660254037844388
400,도로 손상 신고,DialogAdapter,IT1607320061875001,도로·시설물 파손 및 고장 신고 안내,1.0000000000000002
401,도로시설 훼손,DialogAdapter,IT1607320061875001,도로·시설물 파손 및 고장 신고 안내,0.6666666666666669
402,도로손상 신고법ㆍ신고내용 작성법,DialogAdapter,IT1607320061875001,도로·시설물 파손 및 고장 신고 안내,0.7071067811865477
403,공사장 위험,DialogAdapter,IT1607320172233001,"건설, (해체)공사장 위험",0.6324555320336758
404,건설 공사장 위험,DialogAdapter,IT1607320176518001,"건설, (해체)공사장 위험 신고내용 작성요령",0.6123724356957945
405,건설중인 공사장 위험,DialogAdapter,IT1607320176518001,"건설, (해체)공사장 위험 신고내용 작성요령",0.6123724356957945
406,건설 공사장 위험신고내용 작성법,DialogAdapter,IT1607320176518001,"건설, (해체)공사장 위험 신고내용 작성요령",0.7216878364870323
407,건설 공사장 위험신고내용 작성내용,DialogAdapter,IT1607320176518001,"건설, (해체)공사장 위험 신고내용 작성요령",0.8249579113843054
408,지하수로 방치,DialogAdapter,IT1607320211556001,지하수 미등록 시설·방치공 신고 안내,0.7071067811865475
409,지하수도 미등록 신고,DialogAdapter,IT1607320211556001,지하수 미등록 시설·방치공 신고 안내,0.816496580927726
410,지하수로 방치 신고내용 작성법,DialogAdapter,IT1607320211556001,지하수 미등록 시설·방치공 신고 안내,0.6324555320336758
411,지하수도 미등록 신고내용 작성,DialogAdapter,IT1610010689960001,돋보기 기능 해제,0.6708203932499369
412,매연ㆍ오수ㆍ폐수 무단 배출 신고,DialogAdapter,IT1607320217567001,대기·수질오염 신고 안내,0.7071067811865477
413,매연ㆍ오수ㆍ폐수 무단 배출 신고 작성내용,DialogAdapter,IT1607320217567001,대기·수질오염 신고 안내,0.6123724356957945
414,쓰레기ㆍ폐기물ㆍ유독물 무단 배출ㆍ투기 신고,DialogAdapter,IT1607320222804001,쓰레기·폐기물·유독물 신고 안내,0.8451542547285165
415,쓰레기ㆍ폐기물ㆍ유독물 무단 배출ㆍ투기 신고 작성내용,DialogAdapter,IT1607320222804001,쓰레기·폐기물·유독물 신고 안내,0.7453559924999298
416,차선침범ㆍ역주행ㆍ신호위반ㆍ속도위반 신고,DialogAdapter,IT1607320239691001,교통위반 신고 안내,0.6546536707079772
417,차선침범ㆍ역주행ㆍ신호위반ㆍ속도위반 신고 작성내용,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
418,기타 위험요인 신고,DialogAdapter,IT1607320457270001,기타 안전·환경 위험요인 신고 안내,0.6708203932499369
419,그 밖에 위험요인 신고,DialogAdapter,IT1607320457270001,기타 안전·환경 위험요인 신고 안내,1.0
420,불법광고 신고내용 작성법,DialogAdapter,IT1606898609134001,불법광고물 신고 안내,0.6708203932499369
421,불법광고 신고 작성내용,DialogAdapter,IT1606898609134001,불법광고물 신고 안내,0.6708203932499369
422,자전거 장기간 방치 신고,DialogAdapter,IT1607320466288001,자전거·이륜차 방치 및 불편 신고 안내,0.8660254037844388
423,오토바이 오랜시간동안 방치 신고,DialogAdapter,IT1607320466288001,자전거·이륜차 방치 및 불편 신고 안내,0.7071067811865477
424,자전거 장기간 방치 신고내용 작성법,DialogAdapter,IT1607320466288001,자전거·이륜차 방치 및 불편 신고 안내,0.7071067811865477
425,청소년ㆍ학생ㆍ미성년자 유해 업소 신고,DialogAdapter,IT1607320470551001,청소년 유해 업소 신고 안내,0.8164965809277261
426,청소년ㆍ학생ㆍ미성년자 유해 업소 신고내용 작성법,DialogAdapter,IT1607320470551001,청소년 유해 업소 신고 안내,0.7071067811865475
427,연료ㆍ에너지 낭비 신고,DialogAdapter,IT1607320474688001,에너지 과소비 신고 안내,0.8660254037844388
428,연료ㆍ에너지 과소비 신고,DialogAdapter,IT1607320474688001,에너지 과소비 신고 안내,0.75
429,연료ㆍ에너지 과소비ㆍ낭비 신고내용 작성법,DialogAdapter,IT1607320474688001,에너지 과소비 신고 안내,0.6546536707079772
430,기타 생활 신고,DialogAdapter,IT1607320479310001,기타 생활불편 신고 안내,0.8660254037844388
431,그 밖에 생활 신고,DialogAdapter,IT1607320457270001,기타 안전·환경 위험요인 신고 안내,0.6708203932499369
432,불법 주차 신고 종류ㆍ유형,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,0.8944271909999159
433,소화전 불법 주차 신고,DialogAdapter,IT1607320487634001,소화전 불법주정차 신고 안내,0.95
434,소화전 주차 신고,DialogAdapter,IT1607320487634001,소화전 불법주정차 신고 안내,1.0
435,교차로 변두리 주차 신고,DialogAdapter,IT1607320490320001,교차로 모퉁이 불법주정차 신고 안내,0.8660254037844388
436,소화전 불법 주차 신고 작성내용,DialogAdapter,IT1607320487634001,소화전 불법주정차 신고 안내,0.6123724356957946
437,소화전 주차 신고내용 작성법,DOUB API,IT1607320493773001,소화전 불법주정차 신고내용 작성요령,1.0
438,교차로 변두리 주차 신고내용 작성법,DialogAdapter,IT1607320490320001,교차로 모퉁이 불법주정차 신고 안내,0.6123724356957946
439,버스정류장 불법주차 신고,DialogAdapter,IT1607320500673001,버스정류소 불법주정차 신고 안내,0.8944271909999159
440,버스정류장 불법주차 신고내용 작성법,DialogAdapter,IT1607320500673001,버스정류소 불법주정차 신고 안내,0.6761234037828132
441,횡단보도 불법주차ㆍ주차 신고,DialogAdapter,IT1607321097021001,횡단보도 불법주정차 신고 안내,0.8944271909999159
442,횡단보도 불법주차ㆍ주차 신고내용 작성법,DialogAdapter,IT1607321097021001,횡단보도 불법주정차 신고 안내,0.7559289460184544
443,어린이구역 주차 신고,DialogAdapter,IT1607321104145001,어린이보호구역 불법주정차 신고 안내,0.75
444,어린이구역 불법주차 신고,DialogAdapter,IT1607321104145001,어린이보호구역 불법주정차 신고 안내,0.6
445,어린이구역 불법주차 신고내용 작성법,DOUB API,IT1607320483954001,불법주정차 신고 유형 안내,1.0
446,장애인용구역 불법주차 신고,DialogAdapter,IT1607321112433001,장애인 전용구역 불법주정차 신고 안내,0.92
447,장애인 주차장 주차,DialogAdapter,IT1607321112433001,장애인 전용구역 불법주정차 신고 안내,1.0000000000000002
448,장애인용구역 불법주차 신고내용 작성법,DialogAdapter,IT1607321112433001,장애인 전용구역 불법주정차 신고 안내,0.6324555320336758
449,기타 불법주차 신고,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,0.8660254037844388
450,그밖에 불법주차 신고,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,0.7745966692414834
451,기타 불법주차 신고작성 내용,DialogAdapter,IT1607321117030001,기타 불법주정차 신고 안내,0.6123724356957946
452,그 밖에 불법주차 신고작성 내용,DialogAdapter,IT1610007279725001,불법 주정차 사진 촬영 어려움,0.6172133998483676
453,코로나 신고 유형,DialogAdapter,IT1607321122687001,코로나19 신고 유형 안내,1.0000000000000002
454,코로나 유형별 신고,DialogAdapter,IT1607321122687001,코로나19 신고 유형 안내,0.816496580927726
455,집합금지 위반 영업 신고,DialogAdapter,IT1607321124767001,집합금지 조치를 위반한 영업·모임 신고 안내,0.8944271909999159
456,집합금지 위반 모임,DialogAdapter,IT1607321124767001,집합금지 조치를 위반한 영업·모임 신고 안내,0.8660254037844388
457,집합금지 위반 영업 신고내용 작성법,DialogAdapter,IT1607321124767001,집합금지 조치를 위반한 영업·모임 신고 안내,0.7559289460184544
458,자가격리 탈주 신고,DialogAdapter,IT1607321129407001,자가격리 무단이탈 신고 안내,0.8660254037844388
459,자가격리 이탈 신고,DialogAdapter,IT1607321129407001,자가격리 무단이탈 신고 안내,1.0
460,자가격리 탈주 신고내용 작성법,DialogAdapter,IT1607321129407001,자가격리 무단이탈 신고 안내,0.6123724356957946
461,자가격리 이탈 신고 작성내용,DialogAdapter,IT1607321129407001,자가격리 무단이탈 신고 안내,0.8164965809277261
462,밀집 모임 신고,DialogAdapter,IT1607321124767001,집합금지 조치를 위반한 영업·모임 신고 안내,0.6666666666666669
463,밀폐 공간 모임 신고,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
464,밀집 모임 신고 작성내용,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
465,밀폐 공간 모임 신고내용 작성법,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
466,마스크 착용 거부 신고,DialogAdapter,IT1607322805559001,"출입자 관리 위반, 마스크 미착용 신고 안내",0.8660254037844388
467,출입자 관리 거부 신고,DialogAdapter,IT1607322805559001,"출입자 관리 위반, 마스크 미착용 신고 안내",0.8660254037844388
468,마스크 착용 거부 신고 작성내용,DialogAdapter,IT1607322805559001,"출입자 관리 위반, 마스크 미착용 신고 안내",0.7071067811865477
469,출입자 관리 거부 신고내용 작성법,DialogAdapter,IT1607322805559001,"출입자 관리 위반, 마스크 미착용 신고 안내",0.6123724356957946
470,감연 차단 의견 제안ㆍ신고,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
471,감연 차단 의견 제안ㆍ신고내용 작성법,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
472,자주 일어나는 신고,DialogAdapter,IT1610004713248001,자주하는 신고 문의,0.7071067811865475
473,자주 하는 신고,DialogAdapter,IT1610004713248001,자주하는 신고 문의,0.7071067811865475
474,비회원 신고,DialogAdapter,IT-0020,신고 안내,0.7071067811865475
475,회원에 대해 질문할게 있어,DialogAdapter,IT1610004799773001,회원 문의,0.9999999999999998
476,회원 문의,DialogAdapter,IT1610004799773001,회원 문의,1.0
477,개인정보,DialogAdapter,IT1610004912593001,개인정보 문의,0.9999999999999998
478,개인정보에 대해 질문 할게 있어,DialogAdapter,IT1610004912593001,개인정보 문의,1.0000000000000002
479,코로나 신고 번호,DialogAdapter,IT1610005624660001,코로나 신고 전화번호 문의,1.0000000000000002
480,코로나 신고할수 있는곳 전화번호 알려줘,DialogAdapter,IT1610005624660001,코로나 신고 전화번호 문의,0.8944271909999159
481,블랙박스가 신고증거로 충분할까?,DialogAdapter,IT1610006585591001,블랙박스 신고 가능여부 문의,0.816496580927726
482,왜 신고가 불수용으로 처리돼?,DialogAdapter,IT-0153,신고 처리 관련 문의,0.816496580927726
483,갤러리 사진은 신고가 안돼?,DialogAdapter,IT1610006675435001,일반 갤러리 사진으로 불법주정차 신고,0.816496580927726
484,갤러리로 신고하기,DialogAdapter,IT1610006675435001,일반 갤러리 사진으로 불법주정차 신고,0.9999999999999998
485,신고 유형 선택,DialogAdapter,IT1610006716169001,신고유형 선택 문의,0.8660254037844388
486,신고 시 알맞은 신고 유형이 없는 경우,DialogAdapter,IT-0020,신고 안내,0.8660254037844388
487,불법주차 과태료 대상,DialogAdapter,IT-0022,불법주정차 신고 대상,0.75
488,불법주차 과태료,DialogAdapter,IT1610007223559001,불법 주정차 과태료,0.93
489,불법주차 사진찍이 어려운 상황일때,DialogAdapter,IT1610007279725001,불법 주정차 사진 촬영 어려움,0.6123724356957946
490,신고 수정,DialogAdapter,IT1610007305977001,신고 수정·변경 및 삭제,0.9999999999999998
491,신고 변경,DialogAdapter,IT1610007305977001,신고 수정·변경 및 삭제,0.9999999999999998
492,신고 삭제,DialogAdapter,IT-0156,신고 취하,0.9999999999999998
493,신고 처리 문의ㆍ목록,DialogAdapter,IT1610007459749001,신고 처리 문의,1.0
494,신고 처리 기관 문의,DialogAdapter,IT1610007855287001,신고 처리 기관 문의,1.0
495,신고 기관,DialogAdapter,IT1610007855287001,신고 처리 기관 문의,1.0
496,신고 후 언제쯤 처리가 돼?,DialogAdapter,IT1610008152088001,신고 처리 기간 문의,0.816496580927726
497,신고 후 언제쯤 처리가 완료돼?,DialogAdapter,IT1610008152088001,신고 처리 기간 문의,0.8660254037844388
498,신고 처리시 절차,DialogAdapter,IT1610008160192001,신고 처리 절차 문의,0.92
499,앱 이용 어떻게 해?,DialogAdapter,IT1610008258110001,앱 이용 문의,0.93
500,앱 이용 방법,DialogAdapter,IT-0179,도움말 요청,0.816496580927726
501,GPS 조회 오류,DialogAdapter,IT-0160,GPS 작동 오류,0.816496580927726
502,위치추적 조회 오류,DialogAdapter,IT1610008551627001,GPS 조회 오류,1.0
503,음성기능 사용법,DialogAdapter,IT1610008602453001,앱 음성 안내 문의,0.92
504,음성기능,DialogAdapter,IT1610008602453001,앱 음성 안내 문의,1.0
505,핸드폰 음성 기능,DialogAdapter,IT1610008602453001,앱 음성 안내 문의,0.816496580927726
506,모바일 음성 기능,DialogAdapter,IT1610008602453001,앱 음성 안내 문의,0.816496580927726
507,통합검색,DialogAdapter,IT1610008687957001,통합검색 이용 문의,1.0
508,신문고 검색창,DialogAdapter,IT1610008687957001,통합검색 이용 문의,1.0
509,자동로그인,DialogAdapter,IT1610008901644001,자동로그인 설정,1.0
510,자동로그인 기능 있어?,DialogAdapter,IT1610008901644001,자동로그인 설정,1.0000000000000002
511,로그인이 계속 유지되는 기능,DialogAdapter,IT1610008901644001,자동로그인 설정,0.6666666666666669
512,사진 저장 오류,DialogAdapter,IT1610009003065001,앱내 사진 촬영시 사진 저장 오류,0.8660254037844388
513,사진촬영 저장 오류,DialogAdapter,IT1610009003065001,앱내 사진 촬영시 사진 저장 오류,1.0
514,사진 촬영 오류,DialogAdapter,IT1610009003065001,앱내 사진 촬영시 사진 저장 오류,0.8660254037844388
515,신고 내용 리셋,DialogAdapter,IT1610010357786001,신고 내용 작성시 리셋,0.8660254037844388
516,신고 내용 작성중 리셋,DialogAdapter,IT1610010357786001,신고 내용 작성시 리셋,1.0
517,신고 내용 초기화,DialogAdapter,IT1610007305977001,신고 수정·변경 및 삭제,0.816496580927726
518,신고 내용 작성중 초기화,DialogAdapter,IT1610010689960001,돋보기 기능 해제,0.8660254037844388
519,동영상 용량 제한,DialogAdapter,IT1631171040719001,동영상 첨부 용량 제한,1.0
520,신고 사진 용량 제한,DialogAdapter,IT1610010380119001,신고 미디어 첨부 용량 문의,0.8660254037844388
521,알림 거부,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
522,알림 차단,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
523,돋보기 기능,DialogAdapter,IT1610010689960001,돋보기 기능 해제,0.9999999999999998
524,돋보기 해제,DialogAdapter,IT1610010689960001,돋보기 기능 해제,0.816496580927726
525,생활불편 신고 조회,DialogAdapter,IT1610011115117001,생활불편신고 앱 신고 조회,0.8838834764831843
526,신고 사진 선택 안됌,DialogAdapter,IT1610011153358001,신고 사진 선택 불가 문의,1.0000000000000002
527,신고 사진 선택법,DialogAdapter,IT1610011153358001,신고 사진 선택 불가 문의,0.6666666666666669
528,신고 사진 선택,DialogAdapter,IT1610011153358001,신고 사진 선택 불가 문의,1.0000000000000002
529,비번 변경,DialogAdapter,IT1610011339156001,비밀번호 변경 문의,0.9999999999999998
530,비밀번호 변경,DialogAdapter,IT1610011339156001,비밀번호 변경 문의,1.0
531,앱 멈춤ㆍ정지 오류,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
532,갑작스러운 인증번호,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
533,요청안한 인증번호,DialogAdapter,IT1610011470185001,요청하지 않은 인증번호 문자 발송,0.6666666666666669
534,의도치 않은 인증번호,DialogAdapter,IT1610011470185001,요청하지 않은 인증번호 문자 발송,1.0
535,법인 인증,DialogAdapter,IT1610011536258001,법인 휴대폰 인증 문의,0.816496580927726
536,법인 휴대전화 인증,DialogAdapter,IT1610011536258001,법인 휴대폰 인증 문의,1.0
537,재가입,DialogAdapter,IT1610011542040001,재가입 문의,1.0
538,회원 재가입,DialogAdapter,IT1610011542040001,재가입 문의,0.7071067811865475
539,안전보안관ㆍ안전모니터봉사단 회원정보 수정,DialogAdapter,IT1610011674292001,안전보안관 회원정보수정,0.8090398349558906
540,마일리지 포상,DialogAdapter,IT1610011710928001,마일리지 및 포상제도 문의,0.7071067811865475
541,마일리지에 대해 알려줘,DialogAdapter,IT1610011710928001,마일리지 및 포상제도 문의,1.0
542,포상 제도,DialogAdapter,IT1610011710928001,마일리지 및 포상제도 문의,0.7071067811865475
543,개인정보 유출,DialogAdapter,IT1610012057581001,개인정보유출 확인,1.0
544,유출된 개인정보,DialogAdapter,IT1610012057581001,개인정보유출 확인,1.0000000000000002
545,익명성 보장,DialogAdapter,IT1610012062520001,익명보장 확인,0.9999999999999998
546,신고할때 익명성 보장이 돼?,DOUB API,IT1610012062520001,익명보장 확인,1.0
547,개인정보 수집,DialogAdapter,IT1610012102532001,개인정보수집동의,1.0000000000000002
548,수집이 필요한 개인정보,DialogAdapter,IT1610012102532001,개인정보수집동의,0.8660254037844388
549,전화번호를 변경했는데 회원정보가 조회가 안돼,DOUB API,IT-0221,안신앱 운영센터 전화 연결,1.0
550,FAQ,DialogAdapter,IT1610012191677001,자주하는질문,1.0
551,자주하는 질문,DialogAdapter,IT1610012191677001,자주하는질문,1.0
552,이의제기,DialogAdapter,IT1610415079894001,이의제기 문의,0.7071067811865475
553,이의제기 하고싶어,DialogAdapter,IT1610415079894001,이의제기 문의,0.7071067811865475
554,코로나 증상자 주의사항,DialogAdapter,IT1615447411189001,코로나 유증상자 유의사항,1.0
555,긴급!,DialogAdapter,IT1620290343011001,긴급 신고,1.0
556,긴급신고,DialogAdapter,IT1620290343011001,긴급 신고,1.0
557,비 긴급신고,DialogAdapter,IT1620290343011001,긴급 신고,0.9999999999999998
558,너 마음에 안들어,DialogAdapter,IT1620799745019001,응답 불만족,0.7071067811865475
559,답변이 불만족,DialogAdapter,IT1620799745019001,응답 불만족,0.91
560,앱 실행,DialogAdapter,IT1624933997476001,앱 실행,1.0
561,애플리케이션 실행,DialogAdapter,IT1624933997476001,앱 실행,1.0
562,사진 간격 기준,DialogAdapter,IT1631086105335001,불법 주정차 신고 사진 1분 간격,0.8660254037844388
563,불법 주차 신고 사진 간격,DialogAdapter,IT1631086105335001,불법 주정차 신고 사진 1분 간격,0.91
564,불법 주자 신고 문의,DialogAdapter,IT1607321117030001,기타 불법주정차 신고 안내,0.6708203932499369
565,불법 주차 신고,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,1.0
566,불법 주정차 신고 유형,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,1.0
567,불법 주차 동영상 첨부 불가능,DialogAdapter,IT1631089353992001,불법 주정차 신고 동영상 첨부 불가능,0.7745966692414834
568,불법주차 신고 기한,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,0.8660254037844388
569,불법주차 신고 언제까지 해야돼?,DialogAdapter,IT-0022,불법주정차 신고 대상,0.8660254037844388
570,장애인구역 불법주차 신고 사진촬영,DialogAdapter,IT1607321112433001,장애인 전용구역 불법주정차 신고 안내,0.6172133998483676
571,카메라 강제종료,DialogAdapter,IT1631090098846001,카메라 실행 후 20초 경과 시 종료 이유,1.0
572,갑자기 꺼진 카메라,DialogAdapter,IT1631090098846001,카메라 실행 후 20초 경과 시 종료 이유,1.0
573,중간에 꺼지는 카메라,DialogAdapter,IT1631090098846001,카메라 실행 후 20초 경과 시 종료 이유,0.9999999999999998
574,퀵메뉴 설정,DialogAdapter,IT1631167692505001,퀵메뉴 기능 안내,0.6666666666666669
